,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
0,Lata,PT,40.1629,-8.3327,70.92,43,0,7.54,
1,Refojos De Basto,PT,41.5132,-7.9952,72.1,57,0,6.64,Basto Vila Hotel
2,Shenjiamen,CN,29.9576,122.298,75.58,86,0,7.11,Pullman Zhoushan Seaview
3,Abu Samrah,SY,35.3029,37.1841,77.52,35,0,7.34,
4,Huilong,CN,31.8111,121.655,74.98,80,0,7.65,Hilton Garden Inn Qidong
5,Mitsamiouli,KM,-11.3847,43.2844,76.5,74,0,3.24,Al Camar Lodge
6,Kenitra,MA,34.261,-6.5802,74.16,86,0,7.7,Hotel Vitality Terminus
7,Huaidian,CN,33.4333,115.0333,70.43,87,0,6.91,Thank Inn Chain Hotel Henan Zhoukou Shenqiu Dongguan Bus Station
8,Aksu,CN,41.1231,80.2644,70.56,24,0,3.33,Tianyuan International Hotel
9,Koungou,YT,-12.7336,45.2042,76.71,83,0,5.75,H̫tel Caribou
10,Pishin,PK,30.5803,66.9961,72.3,14,0,2.3,Janan MaMa hotel
11,Zambezi,ZM,-13.5432,23.1047,73.04,14,0,6.64,Royal Kutachika Lodge
12,Shache,CN,38.4167,77.2406,71.76,16,0,4.03,Shache Hotel
